,Provider Name,Provider City,"Provider
State",ZIP,APC,"APC
Description","Comprehensive APC
Services","Average
Medicare
Allowed
Amount",CBSA
3836,Wellstar Cobb Hospital,Austell,GA,30106,229,Level II Endovascular Procedures,30,8812.28633333333,12060
3848,Southern Regional Medical Center,Riverdale,GA,30274,83,Level I Endovascular Procedures,41,4199.7887804878,12060
3849,Southern Regional Medical Center,Riverdale,GA,30274,89,Level III Pacemaker and Similar Procedures,13,8946.4,12060
3850,Southern Regional Medical Center,Riverdale,GA,30274,229,Level II Endovascular Procedures,55,8930.66072727272,12060
3851,Southern Regional Medical Center,Riverdale,GA,30274,386,Level II Urogenital Procedures,12,12177.2283333333,12060
3874,Wellstar Douglas Hospital,Douglasville,GA,30134,229,Level II Endovascular Procedures,16,8584.415625,12060
3875,Piedmont Henry Hospital,Stockbridge,GA,30281,83,Level I Endovascular Procedures,57,4223.19315789473,12060
3876,Piedmont Henry Hospital,Stockbridge,GA,30281,85,Level II Electrophysiologic Procedures,11,4373.53,12060
3877,Piedmont Henry Hospital,Stockbridge,GA,30281,86,Level III Electrophysiologic Procedures,14,13521.71,12060
3878,Piedmont Henry Hospital,Stockbridge,GA,30281,89,Level III Pacemaker and Similar Procedures,49,8789.62693877551,12060
3879,Piedmont Henry Hospital,Stockbridge,GA,30281,107,Level I ICD and Similar Procedures,15,21560.44,12060
3880,Piedmont Henry Hospital,Stockbridge,GA,30281,108,Level II ICD and Similar Procedures,43,28344.3727906976,12060
3881,Piedmont Henry Hospital,Stockbridge,GA,30281,202,Level V Gynecologic Procedures,29,3661.0124137931,12060
3882,Piedmont Henry Hospital,Stockbridge,GA,30281,229,Level II Endovascular Procedures,45,8871.09422222222,12060
3883,Piedmont Henry Hospital,Stockbridge,GA,30281,385,Level I Urogenital Procedures,11,6438.81,12060
3884,Eastside Medical Center,Snellville,GA,30078,83,Level I Endovascular Procedures,36,4283.03694444444,12060
3885,Eastside Medical Center,Snellville,GA,30078,202,Level V Gynecologic Procedures,13,3541.45846153846,12060
3886,Eastside Medical Center,Snellville,GA,30078,229,Level II Endovascular Procedures,15,9072.71,12060
3887,North Fulton Hospital,Roswell,GA,30076,61,Level II Neurostimulator & Related Procedures,11,4992.03,12060
3888,North Fulton Hospital,Roswell,GA,30076,229,Level II Endovascular Procedures,13,9072.71,12060
3889,North Fulton Hospital,Roswell,GA,30076,318,Level IV Neurostimulator & Related Procedures,14,24610.58,12060
3893,Piedmont Fayette Hospital,Fayetteville,GA,30214,83,Level I Endovascular Procedures,18,4283.02,12060
3894,Piedmont Fayette Hospital,Fayetteville,GA,30214,89,Level III Pacemaker and Similar Procedures,52,8798.58461538461,12060
3895,Piedmont Fayette Hospital,Fayetteville,GA,30214,90,Level II Pacemaker and Similar Procedures,16,6175.91,12060
3896,Piedmont Fayette Hospital,Fayetteville,GA,30214,202,Level V Gynecologic Procedures,20,3758.15,12060
3897,Piedmont Fayette Hospital,Fayetteville,GA,30214,229,Level II Endovascular Procedures,85,9072.70999999999,12060
3898,Piedmont Fayette Hospital,Fayetteville,GA,30214,319,Level III Endovascular Procedures,18,13270.245,12060
3899,Piedmont Mountainside Hospital Inc,Jasper,GA,30143,89,Level III Pacemaker and Similar Procedures,30,8946.4,12060
3900,Dekalb Medical Center At Hillandale,Lithonia,GA,30058,83,Level I Endovascular Procedures,16,4283.02,12060
3901,"Piedmont Newnan Hospital, Inc",Newnan,GA,30265,89,Level III Pacemaker and Similar Procedures,18,8946.4,12060
3902,"Piedmont Newnan Hospital, Inc",Newnan,GA,30265,108,Level II ICD and Similar Procedures,12,28985.96,12060
3903,Southeastern Regional Medical Center,Newnan,GA,30265,229,Level II Endovascular Procedures,23,9072.71,12060
3904,Emory Johns Creek Hospital,Johns Creek,GA,30097,83,Level I Endovascular Procedures,11,4283.02,12060
3905,Emory Johns Creek Hospital,Johns Creek,GA,30097,229,Level II Endovascular Procedures,57,8935.6449122807,12060
3906,Emory Johns Creek Hospital,Johns Creek,GA,30097,319,Level III Endovascular Procedures,13,12901.5969230769,12060
